opened_at,closed_at,pair,direction,conviction_score,entry_price,exit_price,quantity,realized_pnl,balance_after
2026-07-02T13:24:26.829Z,2026-07-02T15:26:10.977Z,LINKUSDT,long,42,7.78,7.78,127.299809,1.0184,9415.7261
2026-07-02T15:26:13.489Z,2026-07-02T16:27:26.454Z,ETHUSDT,long,41,1701.72,1687.12,0.567139,-8.2802,9405.1157
2026-07-02T15:26:15.749Z,2026-07-02T16:27:26.582Z,SOLUSDT,short,46,80.67,80.44,13.422531,3.1006,9408.2163
2026-07-02T15:26:20.245Z,2026-07-02T16:27:26.712Z,XRPUSDT,short,40,1.09,1.09,861.975590,4.0513,9412.2676
2026-07-02T15:26:29.291Z,2026-07-02T16:27:26.835Z,LINKUSDT,long,38,7.79,7.74,114.774588,-6.5422,9405.7254
2026-07-02T16:27:36.108Z,2026-07-02T17:32:03.855Z,XRPUSDT,short,66,1.09,1.09,1427.206821,-5.2807,9398.5685
2026-07-02T16:42:31.612Z,2026-07-02T17:44:04.169Z,SOLUSDT,short,37,80.20,80.86,10.847446,-7.1919,9390.3052
2026-07-02T16:57:45.218Z,2026-07-02T17:59:04.279Z,LINKUSDT,short,30,7.77,7.75,90.728122,1.9960,9392.3012
2026-07-02T17:32:13.331Z,2026-07-02T18:33:04.135Z,XRPUSDT,short,76,1.09,1.09,1636.330986,1.6363,9393.9375
2026-07-02T18:33:13.409Z,2026-07-02T20:34:26.201Z,XRPUSDT,short,66,1.09,1.08,1421.496413,11.6563,9404.6638
2026-07-02T20:34:35.506Z,2026-07-02T21:35:04.702Z,XRPUSDT,short,71,1.08,1.08,1542.531714,2.7766,9406.4387
2026-07-02T21:35:13.972Z,2026-07-02T22:35:49.157Z,XRPUSDT,short,72,1.08,1.08,1566.434428,0.3133,9405.7361
2026-07-02T22:35:58.423Z,2026-07-02T23:36:22.074Z,XRPUSDT,short,62,1.08,1.09,1349.022948,-7.6894,9397.1720
2026-07-02T23:36:31.343Z,2026-07-03T00:36:49.662Z,XRPUSDT,short,38,1.09,1.08,821.733557,2.7939,9399.4302
2026-07-03T00:36:58.915Z,2026-07-03T01:37:21.626Z,XRPUSDT,short,40,1.08,1.09,867.506250,-9.2823,9389.0341
2026-07-03T01:22:03.442Z,2026-07-03T02:22:22.153Z,ADAUSDT,long,39,0.16,0.17,5597.980817,24.6311,9412.4822
2026-07-03T01:37:30.989Z,2026-07-03T02:38:05.052Z,XRPUSDT,short,52,1.09,1.09,1115.392884,6.4693,9418.4150
2026-07-03T01:37:39.969Z,2026-07-03T02:38:05.307Z,LINKUSDT,long,32,7.82,7.76,96.044008,-5.5706,9412.8445
2026-07-03T02:22:35.559Z,2026-07-03T03:23:05.579Z,ADAUSDT,long,38,0.17,0.17,5319.368307,-7.4471,9404.9314
2026-07-03T02:38:14.610Z,2026-07-03T03:38:33.073Z,XRPUSDT,short,33,1.09,1.09,713.290775,-1.3553,9402.9836
2026-07-03T03:23:19.068Z,2026-07-03T04:23:33.473Z,ADAUSDT,long,42,0.17,0.16,5920.370485,-13.0248,9389.1831
2026-07-03T03:38:42.452Z,2026-07-03T04:38:56.863Z,XRPUSDT,short,55,1.09,1.09,1185.394930,-2.0152,9387.1679
2026-07-03T04:39:10.623Z,2026-07-03T05:39:27.565Z,ADAUSDT,short,44,0.16,0.16,6284.774616,2.5139,9388.5413
2026-07-03T04:54:06.144Z,2026-07-03T05:54:27.803Z,XRPUSDT,short,37,1.09,1.10,795.033168,-5.4062,9382.6140
2026-07-03T05:39:41.353Z,2026-07-03T06:39:57.358Z,ADAUSDT,short,37,0.16,0.16,5298.597138,-5.2986,9376.6539
2026-07-03T05:54:36.924Z,2026-07-03T06:54:57.517Z,XRPUSDT,short,47,1.10,1.10,1003.054451,-3.3101,9373.3439
2026-07-03T06:55:06.641Z,2026-07-03T07:55:30.086Z,XRPUSDT,short,49,1.10,1.10,1041.766126,-0.8334,9371.8215
2026-07-03T07:55:39.299Z,2026-07-03T08:55:57.344Z,XRPUSDT,short,35,1.10,1.10,743.525598,2.7510,9374.0805
2026-07-03T08:56:06.454Z,2026-07-03T09:56:25.659Z,XRPUSDT,short,58,1.10,1.10,1236.348625,-2.7200,9370.5450
2026-07-03T09:56:34.780Z,2026-07-03T10:57:07.958Z,XRPUSDT,short,31,1.10,1.11,659.298447,-6.4611,9363.1000
2026-07-03T10:42:21.644Z,2026-07-03T11:42:37.250Z,ADAUSDT,long,39,0.17,0.17,5447.737962,5.4477,9367.8455
2026-07-03T10:57:17.113Z,2026-07-03T11:57:37.490Z,XRPUSDT,short,50,1.11,1.11,1052.885482,1.4740,9368.8980
2026-07-03T11:42:51.072Z,2026-07-03T12:43:09.234Z,ADAUSDT,long,30,0.17,0.17,4159.789309,-2.4959,9364.7439
2026-07-03T11:57:46.648Z,2026-07-03T12:58:09.503Z,XRPUSDT,short,51,1.11,1.11,1076.060262,4.4118,9369.1558
2026-07-03T11:57:48.906Z,2026-07-03T12:58:09.629Z,DOGEUSDT,long,36,0.08,0.08,11102.664157,-0.1110,9369.0448
2026-07-03T11:57:55.659Z,2026-07-03T12:58:09.766Z,LINKUSDT,long,31,7.87,7.84,92.224955,-3.3201,9365.7247
2026-07-03T12:58:18.707Z,2026-07-03T13:58:49.270Z,XRPUSDT,short,33,1.11,1.11,698.492392,-2.9337,9362.3274
2026-07-03T13:58:58.461Z,2026-07-03T14:59:28.376Z,XRPUSDT,short,36,1.11,1.11,758.834172,-0.9865,9360.4000
2026-07-03T14:14:05.458Z,2026-07-03T15:14:28.644Z,AVAXUSDT,short,31,6.80,6.87,106.650182,-6.6123,9352.7206
2026-07-03T14:59:37.444Z,2026-07-03T16:00:06.729Z,XRPUSDT,short,43,1.11,1.12,905.138978,-7.4221,9345.2985
2026-07-03T14:59:42.070Z,2026-07-03T16:00:06.870Z,ADAUSDT,long,33,0.17,0.17,4520.978876,13.1108,9358.4093
2026-07-03T16:00:15.937Z,2026-07-03T17:02:02.009Z,XRPUSDT,short,41,1.12,1.12,856.691040,3.0841,9360.2862
2026-07-03T16:00:20.481Z,2026-07-03T17:02:02.145Z,ADAUSDT,long,45,0.17,0.17,6039.909942,1.8120,9362.0982
2026-07-03T17:02:11.136Z,2026-07-03T18:02:34.206Z,XRPUSDT,short,40,1.12,1.12,839.048056,-5.2021,9355.7165
2026-07-03T17:02:15.638Z,2026-07-03T18:02:34.327Z,ADAUSDT,long,44,0.17,0.18,5897.875219,7.0775,9362.7940
2026-07-03T18:02:43.294Z,2026-07-03T19:03:18.233Z,XRPUSDT,short,37,1.12,1.13,771.750528,-3.5501,9358.1204
2026-07-03T18:02:47.768Z,2026-07-03T19:03:18.349Z,ADAUSDT,long,43,0.18,0.18,5724.940225,17.1748,9375.2952
2026-07-03T19:03:27.282Z,2026-07-03T20:03:49.827Z,XRPUSDT,short,52,1.13,1.13,1081.348932,-1.9464,9371.6051
2026-07-03T19:03:31.749Z,2026-07-03T20:03:49.944Z,ADAUSDT,long,41,0.18,0.18,5368.116239,10.7362,9382.3413
2026-07-03T19:18:34.038Z,2026-07-03T20:18:50.056Z,AVAXUSDT,long,31,6.91,6.94,105.196065,3.5767,9384.7640
2026-07-03T20:03:58.889Z,2026-07-03T21:06:09.717Z,XRPUSDT,short,42,1.13,1.14,872.814602,-6.8952,9375.8418
2026-07-03T20:04:03.351Z,2026-07-03T21:06:09.961Z,ADAUSDT,long,40,0.18,0.18,5191.892783,5.7111,9381.5529
2026-07-03T20:34:07.863Z,2026-07-03T21:36:10.212Z,LINKUSDT,long,30,7.99,7.96,88.147439,-1.8511,9378.5901
2026-07-03T20:48:52.204Z,2026-07-03T21:51:09.687Z,ETHUSDT,long,43,1770.51,1761.61,0.569789,-5.0711,9373.5190
2026-07-03T20:51:20.887Z,2026-07-03T21:51:46.513Z,DOGEUSDT,long,32,0.08,0.08,9640.412396,1.3497,9374.8687
2026-07-03T20:51:25.360Z,2026-07-03T21:51:46.755Z,AVAXUSDT,long,39,6.98,7.00,130.995187,1.4409,9376.3096
2026-07-03T21:06:18.686Z,2026-07-03T22:06:46.898Z,XRPUSDT,short,49,1.14,1.13,1010.943203,5.7624,9382.0720
2026-07-03T21:06:23.155Z,2026-07-03T22:06:47.013Z,ADAUSDT,long,30,0.18,0.18,3865.740403,-13.5301,9368.5419
2026-07-03T22:06:56.004Z,2026-07-03T23:07:27.135Z,XRPUSDT,short,55,1.13,1.13,1139.372468,1.0254,9368.2745
2026-07-03T22:37:00.505Z,2026-07-03T23:37:27.259Z,ADAUSDT,short,37,0.18,0.18,4846.301080,-2.4232,9364.8396
2026-07-03T23:07:36.243Z,2026-07-04T00:08:01.796Z,XRPUSDT,short,72,1.13,1.14,1492.687807,-8.9561,9355.8835
